"parameter","mean","SE","lower bound","upper bound","Rhat"
"$\alpha$ Neuroticism",19.1116734075,0.333195443614825,18.4566975,19.7610025,1.00001356177388
"$\alpha$ Extraversion",33.1088412225,0.254873711652806,32.607795,33.6038025,1.00021059300558
"$\alpha$ Openness",30.0640561825,0.243732912886416,29.59,30.5397025,1.00007129887986
"$\alpha$ Agreeableness",32.48239675,0.219629361709337,32.0523975,32.907705,1.00000758135379
"$\alpha$ Conscientiousness",35.717769255,0.252721700336933,35.2210975,36.2132,1.00011023442777
"$\beta$ Neuroticism",6.1940051455,0.603392973047807,5.01569925,7.38657825,1.00006890973414
"$\beta$ Extraversion",-5.85075966125,0.462044043424314,-6.7544415,-4.9383065,1.00010374478415
"$\beta$ Openness",-2.3460506982,0.448141468811379,-3.2192335,-1.47308675,1.0000388861638
"$\beta$ Agreeableness",-3.3241925985,0.399520746819557,-4.10810225,-2.54800575,1.00017721449157
"$\beta$ Conscientiousness",-6.72492223825,0.45638988940955,-7.6119335,-5.82050925,1.00005031485081
"$\sigma_{e}$ Neuroticism",9.098073696,0.197432010359282,8.7206885,9.49906075,1.0001071431447
"$\sigma_{e}$ Extraversion",6.91673333225,0.150153886047152,6.6280785,7.21697,0.999979893971139
"$\sigma_{e}$ Openness",6.70046093125,0.146370185097042,6.422258,6.995213,0.999929019921199
"$\sigma_{e}$ Agreeableness",5.99886687325,0.130649755049573,5.74878625,6.26064025,1.00014199662145
"$\sigma_{e}$ Conscientiousness",6.86867609175,0.148583225237907,6.585879,7.1667825,1.00019190489901
